Protocol	X-coordinate	Y-coordinate
MQTT	135.111245	0.000000
MQTT	137.072632	0.000000
MQTT	139.034020	0.000000
MQTT	140.995407	0.000000
MQTT	142.956795	0.000000
MQTT	144.918182	0.000000
MQTT	146.879569	0.000000
MQTT	148.840957	0.000000
MQTT	150.802344	0.000000
MQTT	152.763732	0.000000
MQTT	154.725119	0.000000
MQTT	156.686507	0.000000
MQTT	158.647894	0.000000
MQTT	160.609282	0.000000
MQTT	162.570669	0.000000
MQTT	164.532057	0.000000
MQTT	166.493444	0.000000
MQTT	168.454832	0.000000
MQTT	170.416219	0.000000
MQTT	172.377607	0.000000
MQTT	174.338994	0.000000
MQTT	176.300382	0.000000
MQTT	178.261769	0.000000
MQTT	180.223157	0.000000
MQTT	182.184544	0.000000
MQTT	184.145931	0.000000
MQTT	186.107319	0.000000
MQTT	188.068706	0.000000
MQTT	190.030094	0.000000
MQTT	191.991481	0.000000
MQTT	193.952869	0.000000
MQTT	195.914256	0.000000
MQTT	197.875644	0.000000
MQTT	199.837031	0.000000
MQTT	201.798419	0.000000
MQTT	203.759806	0.000000
MQTT	205.721194	0.000000
MQTT	207.682581	0.000000
MQTT	209.643969	0.000000
MQTT	211.605356	0.000000
MQTT	213.566744	0.000000
MQTT	215.528131	0.000000
MQTT	217.489519	0.000000
MQTT	219.450906	0.000000
MQTT	221.412293	0.000000
MQTT	223.373681	0.000000
MQTT	225.335068	0.000000
MQTT	227.296456	0.000000
MQTT	229.257843	0.000000
MQTT	231.219231	0.000000
MQTT	233.180618	0.000000
MQTT	235.142006	0.000000
MQTT	237.103393	0.000000
MQTT	239.064781	0.000000
MQTT	241.026168	0.000000
MQTT	242.987556	0.000000
MQTT	244.948943	0.000000
MQTT	246.910331	0.000000
MQTT	248.871718	0.000000
MQTT	250.833106	0.000000
MQTT	252.794493	0.000000
MQTT	254.755881	0.000000
MQTT	256.717268	0.000000
MQTT	258.678655	0.000000
MQTT	260.640043	0.000000
MQTT	262.601430	0.000000
MQTT	264.562818	0.000000
MQTT	266.524205	0.000000
MQTT	268.485593	0.000000
MQTT	270.446980	0.000000
MQTT	272.408368	0.000000
MQTT	274.369755	0.000000
MQTT	276.331143	0.000000
MQTT	278.292530	0.000000
MQTT	280.253918	0.000000
MQTT	282.215305	0.000000
MQTT	284.176693	0.000000
MQTT	286.138080	0.000000
MQTT	288.099468	0.000000
MQTT	290.060855	0.000000
MQTT	292.022243	0.000000
MQTT	293.983630	0.000000
MQTT	295.945017	0.000000
MQTT	297.906405	0.000000
MQTT	299.867792	0.000000
MQTT	301.829180	0.000000
MQTT	303.790567	0.000000
MQTT	305.751955	0.000000
MQTT	307.713342	0.000000
MQTT	309.674730	0.000000
MQTT	311.636117	0.000000
MQTT	313.597505	0.000000
MQTT	315.558892	0.000000
MQTT	317.520280	0.000000
MQTT	319.481667	0.000000
MQTT	321.443055	0.000000
MQTT	323.404442	0.000000
MQTT	325.365830	0.000000
MQTT	327.327217	0.000000
MQTT	329.288605	0.000000
MQTT	331.249992	0.000000
MQTT	333.211379	0.000000
MQTT	335.172767	0.000000
MQTT	337.134154	0.000000
MQTT	339.095542	0.000000
MQTT	341.056929	0.000000
MQTT	343.018317	0.000000
MQTT	344.979704	0.000000
MQTT	346.941092	0.000000
MQTT	348.902479	0.000000
MQTT	350.863867	0.000000
MQTT	352.825254	0.000000
MQTT	354.786642	0.000000
MQTT	356.748029	0.000000
MQTT	358.709417	0.000000
MQTT	360.670804	0.000000
MQTT	362.632192	0.000000
MQTT	364.593579	0.000000
MQTT	366.554967	0.000000
MQTT	368.516354	0.000001
MQTT	370.477741	0.000005
MQTT	372.439129	0.000011
MQTT	374.400516	0.000013
MQTT	376.361904	0.000010
MQTT	378.323291	0.000004
MQTT	380.284679	0.000001
MQTT	382.246066	0.000000

ARP	0.375879	0.030329
ARP	1.001387	0.030758
ARP	1.626894	0.031073
ARP	2.252401	0.031269
ARP	2.877909	0.031347
ARP	3.503416	0.031306
ARP	4.128923	0.031150
ARP	4.754431	0.030880
ARP	5.379938	0.030502
ARP	6.005445	0.030021
ARP	6.630953	0.029446
ARP	7.256460	0.028783
ARP	7.881967	0.028041
ARP	8.507475	0.027231
ARP	9.132982	0.026361
ARP	9.758489	0.025441
ARP	10.383997	0.024483
ARP	11.009504	0.023496
ARP	11.635011	0.022489
ARP	12.260518	0.021473
ARP	12.886026	0.020456
ARP	13.511533	0.019448
ARP	14.137040	0.018454
ARP	14.762548	0.017484
ARP	15.388055	0.016542
ARP	16.013562	0.015633
ARP	16.639070	0.014764
ARP	17.264577	0.013936
ARP	17.890084	0.013153
ARP	18.515592	0.012417
ARP	19.141099	0.011729
ARP	19.766606	0.011090
ARP	20.392114	0.010499
ARP	21.017621	0.009956
ARP	21.643128	0.009459
ARP	22.268636	0.009007
ARP	22.894143	0.008598
ARP	23.519650	0.008229
ARP	24.145157	0.007898
ARP	24.770665	0.007602
ARP	25.396172	0.007339
ARP	26.021679	0.007104
ARP	26.647187	0.006896
ARP	27.272694	0.006711
ARP	27.898201	0.006546
ARP	28.523709	0.006398
ARP	29.149216	0.006265
ARP	29.774723	0.006144
ARP	30.400231	0.006032
ARP	31.025738	0.005928
ARP	31.651245	0.005829
ARP	32.276753	0.005733
ARP	32.902260	0.005638
ARP	33.527767	0.005544
ARP	34.153275	0.005449
ARP	34.778782	0.005352
ARP	35.404289	0.005252
ARP	36.029797	0.005150
ARP	36.655304	0.005044
